Country,Lat,Long,Country Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,12.52111,-69.968338,ABW,CO2 emissions from liquid fuel consumption (% of total),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.93911,67.709953,AFG,CO2 emissions from liquid fuel consumption (% of total),62.5619932432432,62.7672627737226,64.8776923076923,65.7902941176471,66.006,66.006,66.1924576271187,66.006,65.6567619047619,60.3713414634146,64.7677922077922,60.6639506172839,40.0036363636364,45.9054074074074,49.6505309734513,52.5454268292683,58.5963917525773,50.8097033898305,64.0680865603645,82.4463833333333,67.7147289504037,62.0638254486134,64.7076363636364,56.2330787309048,48.3142509603073,59.3420650813517,47.0408119079838,N/A,N/A,N/A
Angola,-11.202692,17.873887,AGO,CO2 emissions from liquid fuel consumption (% of total),39.1610110584518,34.9853139356815,35.9791993720565,43.0473913043478,19.4038565022421,78.1363543599258,61.7380105170903,28.416905370844,24.3176605101143,29.336,29.6739450282943,33.3466924864446,36.885389133627,37.9934591893393,26.119533437014,26.0173750686436,38.1663667649951,37.4973776074926,40.7785606060606,45.3276316758748,46.9010970907816,48.731517311609,57.1324661157025,53.1837903717245,81.6206641640196,48.580449374289,50.640016944366,N/A,N/A,N/A
Albania,41.153332,20.168331,ALB,CO2 emissions from liquid fuel consumption (% of total),35.9426611570248,54.2466180048662,63.1902678571429,71.568502415459,75.0535514018692,91.0168205128205,89.1620812182741,95.3915540540541,90.4526666666667,93.9591582491582,89.766309148265,97.1413354037267,97.10216,94.7531386861314,87.7002797202797,96.2249631449632,87.5552839506173,80.1178672985782,91.1034052757794,79.1121296296296,76.302423580786,74.9406746031746,68.9363973799127,69.5887891440501,73.9722413793103,65.8902761341223,68.2076876267749,N/A,N/A,N/A
Andorra,42.546245,1.601554,AND,CO2 emissions from liquid fuel consumption (% of total),99.2773170731707,99.2773170731707,99.2773170731707,100.171707317073,99.2773170731707,98.9237209302326,101.046222222222,99.0870212765957,100.281224489796,100.662745098039,100.8425,100.8425,100.32358490566,101.015471698113,100.187678571429,99.2618965517241,99.3423636363636,99.8238888888889,99.8238888888889,99.4321153846154,99.4321153846154,100.281224489796,99.5328571428571,99.3145833333333,100.443913043478,99.0870212765957,99.8672340425532,N/A,N/A,N/A
United Arab Emirates,23.424076,53.847818,ARE,CO2 emissions from liquid fuel consumption (% of total),31.8380324909747,28.3760211382114,34.5241532528504,44.2695108608206,41.8625450285547,30.400156938326,20.320626566416,18.3597618170657,22.8198044126416,17.8147976744186,55.1871788502484,36.3423852067318,10.5166510395434,27.9425895875592,26.6439325331879,26.1906045751634,26.1152231187222,25.6848720479915,22.4691786171575,26.9344159562285,17.4003451664415,17.9182954545455,41.1940175268878,36.6839429657795,39.8574815056571,21.6554076479076,26.238556101474,N/A,N/A,N/A
Argentina,-38.416097,-63.616672,ARG,CO2 emissions from liquid fuel consumption (% of total),59.3316486378205,58.1873376376757,59.3244424778761,60.528784112402,59.0985976627713,55.2547078464107,52.1307395701644,52.5626374489475,52.2885507246377,53.7083374319994,50.6975051171253,51.0243653399535,48.9849016770239,46.2803053910876,47.8454959464223,49.1105330781848,52.7640162193474,47.6779471979466,52.7685988700565,52.3684120934959,53.6571910312835,49.0677947647523,47.9793048787319,49.3669875,48.6833944750153,49.2362093610619,48.1835999565878,N/A,N/A,N/A
Armenia,40.069099,45.038189,ARM,CO2 emissions from liquid fuel consumption (% of total),N/A,N/A,16.2977777777778,18.6260317460317,34.3948540145985,19.118547008547,14.2684824902724,11.7475748502994,11.7301729106628,18.8655948553055,22.1462078651685,21.5945555555556,26.2096474358974,26.7167142857143,24.4791755319149,22.0348878923767,20.4992650334076,17.7708461538462,18.1738840070299,21.140133037694,23.235599078341,19.0773076923077,15.7065559440559,15.5347454545455,15.6583576642336,15.3821722846442,16.3459960552268,N/A,N/A,N/A
American Samoa,-14.270972,-170.132217,ASM,CO2 emissions from liquid fuel consumption (% of total),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antigua and Barbuda,17.060816,-61.796428,ATG,CO2 emissions from liquid fuel consumption (% of total),134.456666666667,121.677727272727,91.0427586206897,108.5432,107.0764,101.861111111111,104.771428571429,102.676,96.6754545454545,100.009090909091,104.453939393939,99.5328571428571,94.9658974358974,98.3829268292683,105.42625,104.643658536585,100.8425,102.038260869565,100.078541666667,36.67,107.016530612245,100.662745098039,72.8306944444444,111.570425531915,110.01,111.506734693878,111.4768,N/A,N/A,N/A
Australia,-25.274398,133.775136,AUS,CO2 emissions from liquid fuel consumption (% of total),31.4115553869499,29.682599448453,30.0905526158891,32.1636668380085,31.4682735852442,30.0087253036227,31.3259891852198,29.1535883560974,26.6110986998718,26.7680870165746,26.8544623830465,23.3652191558442,25.4878789424467,27.1407380891503,26.043560653763,26.9048299098807,26.1693920972644,25.6995448529984,27.5614929214929,27.208870743132,29.6389404930941,30.9551948051948,31.7584234129144,32.5395852558863,32.4961949821564,31.1671104077453,30.9693220647984,N/A,N/A,N/A
Austria,47.516231,14.550072,AUT,CO2 emissions from liquid fuel consumption (% of total),47.4438184314399,48.2196988144825,50.3918415120513,52.2198564013841,50.8561125407445,49.1011180124224,49.9706440677966,49.272100591716,52.5582542137003,50.7622141157811,49.4262883677003,49.5701074952143,49.8589361395416,49.8290437818963,48.9868627968338,49.4881466421826,49.3931538461538,50.2436650758001,48.8276629435883,50.6332893511332,48.3062778730703,46.9345920609345,47.6242543388112,48.1311178707224,49.1693886110663,48.9397878068092,49.3966130304464,N/A,N/A,N/A
Azerbaijan,40.143105,47.576927,AZE,CO2 emissions from liquid fuel consumption (% of total),N/A,N/A,70.0362483191394,57.6291797458894,52.654358974359,43.480028402884,48.0033729569094,47.0383101089435,53.2315460776847,43.2985894791129,44.9370182454386,29.1503770661157,29.6206661421453,37.0010337798486,37.3799501320035,39.9718008185539,38.0114544922447,41.6819665576154,35.8889959432049,36.7866905330151,36.0322608695652,35.9638200280112,37.8740539661899,37.9783912073909,35.2427581979773,36.0886602424619,37.4896295162278,N/A,N/A,N/A
Burundi,-3.373056,29.918886,BDI,CO2 emissions from liquid fuel consumption (% of total),102.29,97.2552173913044,99.009,101.279047619048,103.025238095238,100.009090909091,103.342727272727,102.038260869565,102.038260869565,108.415652173913,102.958076923077,94.2942857142857,91.675,90.5964705882353,119.1775,91.675,90.71,94.57,89.8415,88.008,91.675,107.036756756757,83.6828205128205,82.2839024390244,84.6230769230769,84.9670731707317,93.269347826087,N/A,N/A,N/A
Belgium,50.503887,4.469936,BEL,CO2 emissions from liquid fuel consumption (% of total),41.7489845393834,44.9172104247104,47.703971334461,47.1105094905095,46.3561140121845,45.8623051409619,47.5343892842193,48.2991435185185,47.4981065237417,46.9684572764263,44.2084865279673,45.7336935947271,45.0328110058638,47.407483982684,46.7975065777934,47.3152734834102,46.6230446387483,46.3993479300124,47.5375984288787,50.6617738537173,51.6383309852541,52.9464612326044,49.8304212299916,50.5963254321499,55.0822770629991,55.3401144957983,53.4848589906701,N/A,N/A,N/A
Benin,9.30769,2.315834,BEN,CO2 emissions from liquid fuel consumption (% of total),146.68,200.018181818182,198.629166666667,209.542857142857,258.5235,225.600217391304,103.374476190476,90.1963709677419,85.7513846153846,103.037535211268,96.3486274509804,91.8742934782609,92.1939150943396,93.6779831932773,94.2114624505929,81.6501079136691,81.6697389033942,84.7837129840547,85.9848275862069,85.1992340425532,87.4160826771653,86.9623895582329,86.723776371308,86.3425099601594,81.5924137931034,84.4818030050083,72.7313692946058,N/A,N/A,N/A
Burkina Faso,12.238333,-1.561593,BFA,CO2 emissions from liquid fuel consumption (% of total),98.8225423728813,104.5095,103.39737704918,101.138225806452,104.095483870968,95.68578125,96.25875,96.1469512195122,95.8420454545455,90.689247311828,94.2942857142857,95.2700980392157,97.0676470588235,96.6754545454546,96.3804424778761,96.6174782608696,96.1277857142857,94.0760119047619,81.4035602094241,83.6,86.6745454545455,86.6745454545455,87.4126199261993,88.8969696969697,91.3107284768212,94.0477647058823,93.3513428571429,N/A,N/A,N/A
