Country,Lat,Long,Country Code,Series Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,12.52111,-69.968338,ABW,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Afghanistan,33.93911,67.709953,AFG,CO2 emissions (kt),2380,2230,1390,1340,1290,1240,1180,1100,1040,810,760,730,1029.99997138977,1220.00002861023,1029.99997138977,1549.99995231628,1759.99999046326,1769.99998092651,3559.99994277954,4880.00011444092,7110.0001335144,8930.00030517578,8079.99992370605,5989.99977111816,4880.00011444092,5949.99980926514,5300.00019073486,4780.00020980835,6070.00017166138,6079.99992370605
Angola,-11.202692,17.873887,AGO,CO2 emissions (kt),6560,6670,6880,9270,11300,12720,15440,16160,16770,17610,16200,15960,15689.9995803833,16760.0002288818,17450.0007629395,15810.0004196167,16559.9994659424,16969.9993133545,19280.0006866455,21149.9996185303,22799.9992370605,23870.0008392334,23870.0008392334,26959.9990844727,29629.9991607666,31649.9996185303,29760.0002288818,24250,23959.9990844727,25209.9990844727
Albania,41.153332,20.168331,ALB,CO2 emissions (kt),5980,4060,2220,2060,2070,1930,1940,1470,1790,2970,3170,3230,3759.99999046326,4070.00017166138,4250,4030.00020980835,4010.00022888184,4139.9998664856,4079.99992370605,4219.99979019165,4449.99980926514,4849.99990463257,4360.0001335144,4440.00005722046,4820.00017166138,4619.99988555908,4480.00001907349,5139.9998664856,5110.0001335144,4829.99992370605
Andorra,42.546245,1.601554,AND,CO2 emissions (kt),410,410,410,410,410,430,450,470,490,510,520,520,529.999971389771,529.999971389771,560.000002384186,579.999983310699,550.000011920929,540.000021457672,540.000021457672,519.999980926514,519.999980926514,490.000009536743,490.000009536743,479.999989271164,460.00000834465,469.999998807907,469.999998807907,469.999998807907,490.000009536743,500
United Arab Emirates,23.424076,53.847818,ARE,CO2 emissions (kt),55210,61560,59700,63620,70780,75170,78530,81440,83450,85680,84730,97200,99150.0015258789,103819.999694824,110010.00213623,116459.999084473,121559.997558594,131830.001831055,156050.003051758,157020.004272461,162789.993286133,165600.006103516,175589.996337891,184470.001220703,184759.994506836,195240.005493164,201080.001831055,197039.993286133,177119.995117188,188860.000610352
Argentina,-38.416097,-63.616672,ARG,CO2 emissions (kt),100320,105920,107930,110260,111910,112890,122550,126120,132670,134510,132270,125260,117470.001220703,127660.003662109,141380.004882813,145990.005493164,154899.993896484,162809.997558594,167229.995727539,156570.007324219,167220.001220703,176639.999389648,177960.006713867,183250,179600.006103516,185550.003051758,183160.003662109,179320.007324219,176899.993896484,168100.006103516
Armenia,40.069099,45.038189,ARM,CO2 emissions (kt),19850,20690,10900,5040,2740,3510,2580,3340,3470,3110,3560,3600,3119.99988555908,3500,3759.99999046326,4460.00003814697,4489.99977111816,5199.99980926514,5690.00005722046,4510.00022888184,4340.00015258789,4940.00005722046,5719.99979019165,5500,5480.00001907349,5340.00015258789,5070.00017166138,5369.99988555908,5710.00003814697,6170.00007629395
American Samoa,-14.270972,-170.132217,ASM,CO2 emissions (kt),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antigua and Barbuda,17.060816,-61.796428,ATG,CO2 emissions (kt),210,220,290,250,250,270,280,290,320,330,330,350,389.999985694885,409.999996423721,400.000005960464,409.999996423721,439.999997615814,460.00000834465,479.999989271164,1389.99998569489,490.000009536743,540.000021457672,699.999988079071,469.999998807907,479.999989271164,490.000009536743,500,500,509.999990463257,519.999980926514
